alpha,Ms
-22.0,0.6192447609752363
-21.9,0.6158364042179346
-21.8,0.6124244766192654
-21.7,0.6090091661327377
-21.6,0.6055906606632773
-21.5,0.6021691481805878
-21.4,0.5987448166219838
-21.3,0.5953178539085855
-21.2,0.5918884479777076
-21.1,0.5884567867828593
-21.0,0.5850230582613551
-20.9,0.58158745035051
-20.8,0.5781501509876382
-20.7,0.5747113481100549
-20.6,0.5712712296550742
-20.5,0.5678299835762055
-20.4,0.5643877977945692
-20.3,0.5609448602474796
-20.2,0.5575013589046405
-20.1,0.5540574816709776
-20.0,0.5506134165000001
-19.9,0.5471693513290224
-19.8,0.5437254740953597
-19.7,0.5402819727525205
-19.6,0.5368390352054309
-19.5,0.5333968494237945
-19.4,0.529955603344926
-19.3,0.5265154848899453
-19.2,0.5230766820123618
